video_id,channel_id,platform,publish_date,publish_hour,duration_seconds,video_type,total_views,first_7d_views,first_30d_views,watch_time_minutes,watch_time_7d,watch_time_30d,likes,comments,shares,dislikes,ad_impressions,engagement_rate,estimated_cpm,avg_view_duration_seconds,avg_percentage_viewed
vid_1129600,channel_6357,YouTube,2025-12-02,16,260,Production,2,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,11.54
vid_1129712,channel_11257,YouTube,2026-02-22,12,,Live,618,618.0,618.0,1341.0,1341.0,1341.0,13.0,0.0,0.0,0.0,985.0,2.1,2.51,130.19,0.0
vid_1127700,channel_11257,YouTube,2026-02-21,22,,Live,5569,5569.0,5569.0,31616.0,31616.0,31616.0,16.0,0.0,3.0,3.0,8115.0,0.34,3.54,340.63,0.0
vid_1127705,channel_9356,YouTube,2025-12-02,17,247,Production,2,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vid_1131233,channel_8327,YouTube,2025-12-21,10,,Live,202,202.0,202.0,255.0,255.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.74,0.0
vid_1127256,channel_8327,YouTube,2025-12-21,4,,Live,132,132.0,132.0,370.0,370.0,370.0,0.0,0.0,2.0,0.0,0.0,1.52,0.0,168.18,0.0
vid_1121978,channel_5534,YouTube,2025-12-18,8,118,Production,4,4.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,12.71
vid_1121410,channel_10665,YouTube,2025-12-16,11,200,Production,4,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vid_1127783,channel_8061,YouTube,2026-02-24,4,19,Short,1044,1044.0,1044.0,380.0,380.0,380.0,26.0,0.0,0.0,1.0,0.0,2.49,0.06,21.84,114.94
vid_1126776,channel_10438,YouTube,2026-02-16,15,,Live,3791,3791.0,3791.0,7361.0,7361.0,7361.0,22.0,0.0,4.0,5.0,5848.0,0.69,1.27,116.5,0.0
vid_1130008,channel_10438,YouTube,2026-02-16,15,,Live,207,207.0,207.0,924.0,924.0,924.0,0.0,0.0,0.0,0.0,294.0,0.0,1.3,267.83,0.0
vid_1131400,channel_10438,YouTube,2026-02-16,15,,Live,97,97.0,97.0,423.0,423.0,423.0,0.0,0.0,0.0,0.0,129.0,0.0,1.24,261.65,0.0
vid_1127651,channel_10438,YouTube,2026-02-16,15,,Live,179,179.0,179.0,809.0,809.0,809.0,0.0,0.0,0.0,0.0,194.0,0.0,1.68,271.17,0.0
vid_1127492,channel_10438,YouTube,2026-02-16,15,,Live,262,262.0,262.0,1378.0,1378.0,1378.0,4.0,0.0,0.0,0.0,324.0,1.53,0.88,315.57,0.0
vid_1130134,channel_10438,YouTube,2026-02-23,14,21,Short,16695,16695.0,16695.0,6788.0,6788.0,6788.0,169.0,0.0,2.0,34.0,0.0,1.02,0.05,24.4,116.17
vid_1126967,channel_10887,YouTube,2026-02-23,15,26,Short,105,105.0,105.0,51.0,51.0,51.0,4.0,0.0,0.0,1.0,0.0,3.81,0.0,29.14,112.09
vid_1129157,channel_10887,YouTube,2026-02-23,13,22,Short,86,86.0,86.0,38.0,38.0,38.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,26.51,120.51
vid_1126867,channel_10887,YouTube,2026-02-23,9,20,Short,128,128.0,128.0,48.0,48.0,48.0,1.0,0.0,0.0,1.0,0.0,0.78,0.0,22.5,112.5
vid_1128453,channel_8061,YouTube,2026-02-23,16,1076,Production,675,675.0,675.0,2660.0,2660.0,2660.0,5.0,0.0,0.0,0.0,923.0,0.74,3.94,236.44,21.97
vid_1129285,channel_6941,YouTube,2026-02-23,15,46,Short,575,575.0,575.0,356.0,356.0,356.0,12.0,0.0,0.0,6.0,0.0,2.09,0.0,37.15,80.76
vid_1121557,channel_6941,YouTube,2026-02-23,14,15,Short,8708,8708.0,8708.0,2813.0,2813.0,2813.0,98.0,0.0,3.0,51.0,0.0,1.16,0.0,19.38,129.21
vid_1128868,channel_11257,YouTube,2026-02-23,19,46,Short,611,611.0,611.0,379.0,379.0,379.0,11.0,1.0,0.0,3.0,0.0,1.96,0.11,37.22,80.91
vid_1127880,channel_10769,YouTube,2026-02-22,14,1121,Production,54,54.0,54.0,89.0,89.0,89.0,1.0,0.0,0.0,0.0,0.0,1.85,0.0,98.89,8.82
vid_1132218,channel_10438,YouTube,2026-02-22,14,,Live,2547,2547.0,2547.0,12434.0,12434.0,12434.0,9.0,0.0,0.0,6.0,4753.0,0.35,1.68,292.91,0.0
vid_1131627,channel_10438,YouTube,2026-02-22,12,1401,Production,9884,9884.0,9884.0,39960.0,39960.0,39960.0,34.0,0.0,4.0,5.0,15144.0,0.38,1.91,242.57,17.31
vid_1128920,channel_10887,YouTube,2026-02-22,15,26,Short,136,136.0,136.0,55.0,55.0,55.0,6.0,0.0,0.0,2.0,0.0,4.41,0.07,24.26,93.33
vid_1130538,channel_10887,YouTube,2026-02-22,11,22,Short,169,169.0,169.0,61.0,61.0,61.0,3.0,0.0,0.0,4.0,0.0,1.78,0.06,21.66,98.44
