video_id,platform,publish_month,data_month,months_since_publish,views,watch_time_minutes
vid_1129712,YouTube,2026-02,2026-02,0,618,1341.0
vid_1127700,YouTube,2026-02,2026-02,0,5569,31616.0
vid_1127783,YouTube,2026-02,2026-02,0,1044,380.0
vid_1126776,YouTube,2026-02,2026-02,0,3791,7361.0
vid_1130008,YouTube,2026-02,2026-02,0,0,0.0
vid_1130008,YouTube,2026-02,2026-02,0,207,924.0
vid_1131400,YouTube,2026-02,2026-02,0,97,423.0
vid_1127651,YouTube,2026-02,2026-02,0,179,809.0
vid_1127492,YouTube,2026-02,2026-02,0,262,1378.0
vid_1130134,YouTube,2026-02,2026-02,0,16695,6788.0
vid_1126967,YouTube,2026-02,2026-02,0,105,51.0
vid_1129157,YouTube,2026-02,2026-02,0,86,38.0
vid_1126867,YouTube,2026-02,2026-02,0,128,48.0
vid_1128453,YouTube,2026-02,2026-02,0,675,2660.0
vid_1129285,YouTube,2026-02,2026-02,0,575,356.0
vid_1121557,YouTube,2026-02,2026-02,0,8708,2813.0
vid_1128868,YouTube,2026-02,2026-02,0,611,379.0
vid_1127880,YouTube,2026-02,2026-02,0,54,89.0
vid_1132218,YouTube,2026-02,2026-02,0,2547,12434.0
vid_1131627,YouTube,2026-02,2026-02,0,9884,39960.0
vid_1128920,YouTube,2026-02,2026-02,0,136,55.0
vid_1130538,YouTube,2026-02,2026-02,0,169,61.0
vid_1131677,YouTube,2026-02,2026-02,0,158,183.0
vid_1127449,YouTube,2026-02,2026-02,0,6161,2063.0
vid_1127289,YouTube,2026-02,2026-02,0,2288,1608.0
vid_1131549,YouTube,2026-02,2026-02,0,1265,1057.0
vid_1131158,YouTube,2026-02,2026-02,0,1165,1442.0
vid_1130950,YouTube,2026-02,2026-02,0,183,593.0
vid_1128053,YouTube,2026-02,2026-02,0,822,986.0
vid_1122135,YouTube,2026-02,2026-02,0,993,3436.0
vid_1129763,YouTube,2026-02,2026-02,0,799,522.0
vid_1121375,YouTube,2026-02,2026-02,0,10672,4765.0
vid_1132057,YouTube,2026-02,2026-02,0,553,219.0
vid_1130873,YouTube,2026-02,2026-02,0,1814,430.0
vid_1130701,YouTube,2026-02,2026-02,0,1966,2909.0
vid_1131631,YouTube,2026-02,2026-02,0,4298,8491.0
vid_1130556,YouTube,2026-02,2026-02,0,115,63.0
vid_1127496,YouTube,2026-02,2026-02,0,134,48.0
vid_1132391,YouTube,2026-02,2026-02,0,207,116.0
vid_1129412,YouTube,2026-02,2026-02,0,512,228.0
vid_1129841,YouTube,2026-02,2026-02,0,588,2301.0
vid_1122006,YouTube,2026-02,2026-02,0,6874,3355.0
vid_1132101,YouTube,2026-02,2026-02,0,2804,1661.0
vid_1130595,YouTube,2026-02,2026-02,0,16793,9242.0
vid_1127968,YouTube,2026-02,2026-02,0,123,203.0
vid_1129945,YouTube,2026-02,2026-02,0,7764,2280.0
vid_1121435,YouTube,2026-02,2026-02,0,5295,1442.0
vid_1128040,YouTube,2026-02,2026-02,0,1,0.0
vid_1128040,YouTube,2026-02,2026-02,0,4345,1134.0
vid_1129654,YouTube,2026-02,2026-02,0,54,41.0
